Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
STIMMBEZIRK;091751320001;622;348;0;244;0;0;237;7;CSU/FDP;127;FREIE WÄHLER;37;GRÜNE;24;SPD;49;
STIMMBEZIRK;091751320002;396;328;0;149;0;0;149;0;CSU/FDP;101;FREIE WÄHLER;10;GRÜNE;8;SPD;30;
STIMMBEZIRK;091751320003;635;439;0;315;2;0;310;7;CSU/FDP;185;FREIE WÄHLER;34;GRÜNE;25;SPD;66;
STIMMBEZIRK;091751320004;457;326;0;226;0;0;224;2;CSU/FDP;76;FREIE WÄHLER;32;GRÜNE;26;SPD;90;
STIMMBEZIRK;091751320005;585;315;0;181;0;0;179;2;CSU/FDP;56;FREIE WÄHLER;21;GRÜNE;32;SPD;70;
STIMMBEZIRK;091751320006;509;344;0;239;1;0;236;4;CSU/FDP;83;FREIE WÄHLER;27;GRÜNE;30;SPD;96;
STIMMBEZIRK;091751320007;582;372;0;264;0;0;260;4;CSU/FDP;101;FREIE WÄHLER;23;GRÜNE;38;SPD;98;
STIMMBEZIRK;091751320008;436;370;0;200;0;0;196;4;CSU/FDP;71;FREIE WÄHLER;28;GRÜNE;24;SPD;73;
STIMMBEZIRK;091751320009;397;323;0;218;0;0;216;2;CSU/FDP;89;FREIE WÄHLER;25;GRÜNE;26;SPD;76;
STIMMBEZIRK;091751320010;475;393;0;235;0;0;234;1;CSU/FDP;86;FREIE WÄHLER;29;GRÜNE;37;SPD;82;
STIMMBEZIRK;091751320011;427;326;0;192;1;0;190;3;CSU/FDP;89;FREIE WÄHLER;15;GRÜNE;19;SPD;67;
STIMMBEZIRK;091751320012;350;285;0;146;2;0;144;4;CSU/FDP;64;FREIE WÄHLER;20;GRÜNE;9;SPD;51;
